phase,condition,intervention_type,study_design,sponsor_type,enrollment,enrollment_type,status,gender,location,masking,duration
1,10151,6,0,6,20.0,0,1,0,2316,1,1590.0
1,1068,6,2,3,31.0,0,1,0,1458,1,462.0
3,12906,6,1,3,184.0,0,0,0,432,0,773.0
1,15936,6,2,6,0.0,0,1,0,2465,1,577.0
3,14807,6,1,3,0.0,0,1,0,2465,0,304.0
5,2006,6,2,3,47.0,0,1,0,2465,1,1076.9030855527424
3,2880,6,1,5,130.0,1,1,1,1723,0,2571.0
6,16644,6,1,8,100.0,1,0,0,2465,1,882.0
3,7823,6,1,6,500.0,2,1,2,2465,0,1076.9030855527424
6,16346,6,1,6,45.0,0,1,0,880,3,731.0
6,17630,6,2,6,1.0,0,1,0,1603,1,211.0
1,16192,8,2,5,0.0,0,1,0,432,1,731.0
3,11699,6,2,6,50.0,0,0,0,1458,1,2754.0
1,12814,8,1,6,30.0,0,0,1,2059,3,1076.9030855527424
3,9569,6,2,6,1.0,0,1,0,1457,1,516.0
1,1625,6,1,3,64.0,0,0,0,2465,0,395.0
3,505,6,1,3,123.0,0,0,0,101,1,1716.0
3,15169,6,0,3,29.0,0,1,0,2247,1,274.0
3,2926,6,2,3,20.0,0,0,1,2094,1,336.0
3,13396,6,1,3,195.0,0,1,0,2465,2,120.0
5,2128,6,1,3,279.0,0,0,0,2465,2,426.0
6,17487,9,1,3,70.0,0,0,0,2343,4,336.0
3,13729,6,1,4,122.0,0,0,1,2465,4,1924.0
5,7650,6,1,3,9.0,0,1,0,2465,0,153.0
3,1308,6,1,3,141.0,0,1,0,2465,2,510.0
5,12965,6,1,3,1450.0,0,1,0,2465,0,2223.0
3,13701,6,2,6,27.0,0,1,1,1517,1,881.0
3,7488,6,2,3,17.0,0,1,0,83,1,699.0
1,13877,0,1,6,50.0,1,0,0,1719,1,2099.0
6,6578,6,1,3,38.0,0,0,0,2094,1,153.0
1,8162,6,1,3,40.0,0,0,0,1693,1,162.0
3,16177,6,2,5,52.0,0,0,0,1666,1,1553.0
6,15933,6,1,3,50.0,1,1,0,1598,0,700.0
6,8472,6,1,6,90.0,0,0,0,2467,1,1035.0
6,8830,6,2,5,6.0,0,1,0,2246,1,640.0
5,2862,6,1,5,198.0,0,0,0,1199,2,1584.0
1,7795,6,1,5,38.0,0,0,1,1938,3,912.0
1,8057,6,1,3,33.0,0,1,0,2356,0,128.0
6,15239,6,1,6,215.0,0,1,0,446,2,1036.0
1,5438,3,0,1,20.0,0,0,0,880,1,1583.0
5,2093,6,1,3,2199.0,0,0,0,157,1,680.0
6,14026,6,1,6,1370.0,0,0,0,2465,4,1918.0
3,9011,6,1,7,0.0,0,1,0,2465,0,1076.9030855527424
5,11205,6,1,5,39.0,0,1,0,83,2,1157.0
3,12668,6,2,3,43.0,0,0,0,812,1,1918.0
5,1659,5,1,6,73.0,0,1,0,1457,0,880.0
6,13893,6,1,8,401.0,0,0,1,2405,1,853.0
5,12184,6,1,6,800.0,2,1,0,2465,0,1675.0
5,19283,6,1,3,364.0,0,0,0,2465,0,1918.0
1,8057,6,1,3,12.0,0,0,0,2465,1,1076.9030855527424
3,8206,6,1,3,57.0,0,1,0,1807,2,1011.0
3,15789,6,1,6,0.0,0,1,2,1621,4,27.0
3,9831,6,2,6,6.0,0,1,0,1517,1,731.0
0,6161,3,1,3,0.0,0,1,0,2465,3,1033.0
2,10937,6,2,3,0.0,0,1,0,2465,1,273.0
6,4158,6,2,6,112.0,0,0,0,1873,1,2576.0
3,3012,6,0,3,6.0,0,0,0,2465,1,518.0
1,8057,6,1,3,88.0,0,1,0,601,0,92.0
3,13701,6,2,3,16.0,0,1,1,432,1,243.0
6,10186,6,1,6,77.0,0,0,0,1458,1,344.0
5,372,3,1,1,59.0,0,0,0,1723,3,548.0
4,17409,6,1,7,34.0,2,1,0,101,3,731.0
1,4799,6,0,3,4.0,0,1,2,2465,1,70.0
5,5451,6,1,3,430.0,0,0,0,1614,0,700.0
5,13579,1,1,3,220.0,0,1,0,158,0,547.0
1,4993,8,1,6,62.0,0,1,0,2143,0,670.0
1,11701,6,2,3,76.0,0,0,0,157,1,1130.0
3,10835,6,0,3,23.0,0,0,0,1199,1,2252.0
3,11968,6,1,7,133.0,0,0,1,2465,2,730.0
5,12167,6,2,3,74.0,0,0,0,2465,1,242.0
3,17452,1,1,3,180.0,0,0,0,2465,0,1704.0
3,12965,6,1,3,35.0,0,1,0,432,1,455.0
3,7347,6,2,3,0.0,0,1,0,2465,1,1076.9030855527424
3,2395,6,1,3,24.0,0,0,0,432,1,1340.0
5,908,6,1,6,0.0,0,1,1,227,1,89.0
1,8057,6,1,3,40.0,0,0,0,2465,0,123.0
3,19132,1,1,3,6.0,0,1,0,1807,4,950.0
1,6601,9,1,3,10.0,0,1,0,432,1,1702.0
1,8439,6,0,3,0.0,0,1,0,812,1,177.0
3,11709,6,0,6,51.0,1,0,0,2465,1,1066.0
5,17430,0,1,6,637.0,0,0,0,2465,3,1248.0
6,18423,6,1,6,40.0,0,0,0,1703,4,183.0
6,17846,6,1,1,1.0,0,1,0,1621,2,2463.0
6,18937,9,1,6,204.0,0,0,0,1666,1,1248.0
2,11694,1,2,3,0.0,0,1,1,2465,1,593.0
5,7226,6,1,6,60.0,0,0,0,2465,1,457.0
3,2880,6,2,1,32.0,0,0,1,593,1,1009.0
2,6628,6,0,5,8.0,0,1,0,1457,1,741.0
5,5549,6,1,3,607.0,0,0,0,83,0,773.0
6,2006,6,1,7,54.0,0,1,0,2465,2,622.0
3,10937,6,2,3,15.0,0,1,0,880,1,3348.0
5,17132,6,1,3,676.0,0,0,0,157,2,701.0
1,17165,6,0,6,15.0,2,1,0,1807,1,1704.0
5,19738,6,2,3,52.0,0,0,0,2465,1,334.0
1,8151,6,2,3,24.0,0,0,0,405,1,33.0
3,1480,6,1,3,44.0,0,0,0,1621,0,273.0
2,12276,1,2,5,2.0,0,1,0,1603,1,890.0
3,6346,6,1,3,20.0,2,0,1,2465,1,1076.9030855527424
3,19055,6,1,5,15.0,0,1,0,593,1,1081.0
5,9534,8,2,3,135.0,0,0,0,919,3,273.0
3,9804,9,1,6,7.0,0,1,0,2465,1,1369.0
6,16948,6,1,3,170.0,0,0,0,158,0,489.0
3,13367,6,2,6,0.0,0,1,0,2465,1,0.0
1,18251,0,0,6,16.0,1,1,0,2448,1,731.0
2,9625,6,1,3,55.0,0,1,0,83,2,1218.0
3,8878,6,1,3,25.0,0,0,0,2465,0,274.0
